     doc_idx|      recall|   precision|      fscore
           0|         1.0|         0.4|0.5714285714
           1|         1.0|         0.4|0.5714285714
           2|         0.5|         0.4|0.4444444444
           3|         0.5|         0.4|0.4444444444
           4|         1.0|         0.2|0.3333333333
           5|           0|           0|           0
           6|         1.0|         0.4|0.5714285714
           7|0.6666666666|         0.4|         0.5
           8|0.3333333333|         0.2|        0.25
           9|         1.0|         0.2|0.3333333333
